eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,model_name
4.589557178746873e-08,1.0,1.0,1.0,1.0,3.6193,276.296,34.537,distil-bert
1.6258572941296734e-05,1.0,1.0,1.0,1.0,7.618,131.269,16.409,bert-base
